month,excess_return,total_return,gross_return,cost,turnover,n_markets,equity_excess,equity_total
2007-11-01,0.06567169,0.06889718,0.06659772,0.00092603,4.183674,24,27.476683,61.412320
2007-12-01,-0.01254958,-0.00996174,-0.01182527,0.00072431,3.094828,24,27.131862,60.800547
2008-01-01,0.06082058,0.06357837,0.06188723,0.00106665,4.662788,24,28.782037,64.666146
2008-02-01,0.08227506,0.08389390,0.08315332,0.00087827,4.595091,24,31.150081,70.091241
2008-03-01,0.01848670,0.02001545,0.01885466,0.00036796,0.801834,24,31.725943,71.494149
2008-04-01,-0.11023258,-0.10908979,-0.10969144,0.00054114,1.747933,24,28.228711,63.694867
2008-05-01,0.08071053,0.08189446,0.08190909,0.00119856,6.533656,24,30.507065,68.911124
2008-06-01,0.02885553,0.03041705,0.02934162,0.00048610,1.348231,24,31.387363,71.007197
2008-07-01,-0.07743867,-0.07586896,-0.07648055,0.00095812,4.216270,24,28.956767,65.619954
2008-08-01,0.00451415,0.00590348,0.00573493,0.00122078,5.383670,24,29.087482,66.007340
2008-09-01,0.01966817,0.02109033,0.02062378,0.00095561,4.936331,24,29.659580,67.399457
2008-10-01,0.11795439,0.11871785,0.11843978,0.00048539,1.857967,24,33.158057,75.400975
2008-11-01,0.07854242,0.07892495,0.07900923,0.00046681,2.229201,24,35.762371,81.351993
2008-12-01,0.05539341,0.05540175,0.05565979,0.00026638,0.569424,24,37.743371,85.859036
2009-01-01,-0.03946748,-0.03937586,-0.03913955,0.00032793,0.869006,24,36.253735,82.478262
2009-02-01,-0.03036523,-0.03016545,-0.02989648,0.00046875,1.763925,24,35.152882,79.990268
2009-03-01,-0.03707242,-0.03685601,-0.03645886,0.00061356,3.036523,24,33.849680,77.042146
2009-04-01,-0.02828450,-0.02810967,-0.02733532,0.00094918,4.724061,24,32.892259,74.876517
2009-05-01,-0.04630407,-0.04618747,-0.04543736,0.00086671,3.373602,24,31.369213,71.418160
2009-06-01,-0.01302718,-0.01291059,-0.01229314,0.00073405,2.762303,24,30.960561,70.496109
2009-07-01,-0.00654848,-0.00639029,-0.00566540,0.00088308,4.618676,24,30.757816,70.045619
2009-08-01,0.07677626,0.07692614,0.07737357,0.00059731,2.864949,24,33.119286,75.433958
2009-09-01,0.02090533,0.02103025,0.02142221,0.00051688,2.083122,24,33.811656,77.020353
2009-10-01,-0.01906046,-0.01894386,-0.01873222,0.00032824,0.769200,24,33.167191,75.561290
2009-11-01,0.05361011,0.05365177,0.05407661,0.00046650,1.702189,24,34.945287,79.615286
2009-12-01,-0.06596601,-0.06591602,-0.06556767,0.00039834,1.501991,24,32.640086,74.367363
2010-01-01,-0.04431812,-0.04426813,-0.04346022,0.00085790,4.933455,24,31.193539,71.075259
2010-02-01,0.00359564,0.00366229,0.00459905,0.00100341,5.067253,24,31.305700,71.335557
2010-03-01,0.00222599,0.00233426,0.00321785,0.00099186,3.951376,24,31.375386,71.502072
2010-04-01,0.03450406,0.03463730,0.03566559,0.00116152,6.604875,24,32.457964,73.978711
2010-05-01,-0.00334518,-0.00321195,-0.00247750,0.00086768,4.675896,24,32.349386,73.741096
2010-06-01,0.05639539,0.05652863,0.05700462,0.00060923,2.492858,24,34.173743,77.909579
2010-07-01,-0.01586564,-0.01571577,-0.01554359,0.00032206,0.847118,24,33.631554,76.685170
2010-08-01,0.07097778,0.07110269,0.07136906,0.00039128,1.182638,24,36.018647,82.137692
2010-09-01,0.02132353,0.02144012,0.02171304,0.00038951,0.920231,24,36.786692,83.898734
2010-10-01,0.04082889,0.04096213,0.04123219,0.00040330,1.370971,24,38.288652,87.335405
2010-11-01,-0.06097602,-0.06087607,-0.06073499,0.00024103,0.135696,24,35.953963,82.018768
2010-12-01,0.08178448,0.08192603,0.08258353,0.00079905,4.123829,24,38.894439,88.738241
2011-01-01,0.01049245,0.01059239,0.01106542,0.00057297,2.540402,24,39.302536,89.678191
2011-02-01,0.01153700,0.01166191,0.01199708,0.00046008,2.182849,25,39.755970,90.724010
2011-03-01,0.00810470,0.00822962,0.00861577,0.00051107,2.420187,25,40.078180,91.470634
2011-04-01,0.02436164,0.02443661,0.02484926,0.00048762,2.640128,25,41.054550,93.705866
2011-05-01,0.00003488,0.00006821,0.00056120,0.00052632,2.606299,25,41.055982,93.712258
2011-06-01,-0.00308293,-0.00303295,-0.00265548,0.00042746,1.594222,25,40.929410,93.428034
2011-07-01,0.05121817,0.05124317,0.05167727,0.00045910,1.572086,25,43.025739,98.215582
2011-08-01,0.05419043,0.05427372,0.05462463,0.00043420,1.526397,25,45.357322,103.546107
